Blog,Variable,Type,Description
yes,gender,Categorical, Gender of self  
yes,age,Numeric, Age of self  
yes,age_o,Numeric, Age of partner  
yes,d_age,Numeric, Difference in age  
no,race,Categorical, Race of self  
no,race_o,Categorical, Race of partner  
no,samerace,Categorical, Whether the two persons have the same race or not.  
no,importance_same_race,Numeric, How important is it that partner is of same race?  
no,importance_same_religion,Numeric, How important is it that partner has same religion?  
no,pref_o_attractive,Numeric, How important does partner rate attractiveness  
no,pref_o_sinsere,Numeric, How important does partner rate sincerity  
no,pref_o_intelligence,Numeric, How important does partner rate intelligence  
no,pref_o_funny,Numeric, How important does partner rate being funny  
no,pref_o_ambitious,Numeric, How important does partner rate ambition  
no,pref_o_shared_interests,Numeric, How important does partner rate having shared interests  
no,attractive_o,Numeric, Rating by partner (about me) at night of event on attractiveness  
no,sincere_o,Numeric, Rating by partner (about me) at night of event on sincerity  
no,intelligence_o,Numeric, Rating by partner (about me) at night of event on intelligence  
no,funny_o,Numeric, Rating by partner (about me) at night of event on being funny  
no,ambitous_o,Numeric, Rating by partner (about me) at night of event on being ambitious  
no,shared_interests_o,Numeric, Rating by partner (about me) at night of event on shared interest  
yes,attractive_important,Numeric, What do you look for in a partner - attractiveness  
yes,sincere_important,Numeric, What do you look for in a partner - sincerity  
yes,intelligence_important,Numeric, What do you look for in a partner - intelligence  
yes,funny_important,Numeric, What do you look for in a partner - being funny  
yes,ambition_important,Numeric, What do you look for in a partner - ambition  
yes,shared_interests_important,Numeric, What do you look for in a partner - shared interests  
yes,attractive,Numeric, Rate yourself - attractiveness  
yes,sincere,Numeric, Rate yourself - sincerity   
yes,intelligence,Numeric, Rate yourself - intelligence   
yes,funny,Numeric, Rate yourself - being funny   
yes,ambition,Numeric, Rate yourself - ambition  
yes,attractive_partner,Numeric, Rate your partner - attractiveness  
yes,sincere_partner,Numeric, Rate your partner - sincerity   
yes,intelligence_partner,Numeric, Rate your partner - intelligence   
yes,funny_partner,Numeric, Rate your partner - being funny   
yes,ambition_partner,Numeric, Rate your partner - ambition   
yes,shared_interests_partner,Numeric, Rate your partner - shared interests  
yes,interests_correlate,Numeric, Correlation between participant’s and partner’s ratings of interests.  
no,expected_happy_with_sd_people,Numeric, How happy do you expect to be with the people you meet during the speed-dating event?  
no,expected_num_interested_in_me,Numeric," Out of the 20 people you will meet, how many do you expect will be interested in dating you?  "
no,expected_num_matches,Numeric, How many matches do you expect to get?  
no,guess_prob_liked,Numeric, How likely do you think it is that your partner likes you?   
yes,decision,Categorical, Decision at night of event.
no,decision_o,Categorical, Decision of partner at night of event.  
no,match,Categorical, Match (yes/no)
